,Close,High,Low,Open,Volume,date,totalVolume_less_than_0_01,addressesCount_less_than_0_01,totalVolume_f_0_01_to_0_1,addressesCount_f_0_01_to_0_1,totalVolume_f_0_1_to_1_x,addressesCount_f_0_1_to_1_x,totalVolume_f_0_1_to_1_y,addressesCount_f_0_1_to_1_y,totalVolume_f_0_1_to_1,addressesCount_f_0_1_to_1,totalVolume_f_1_to_10,addressesCount_f_1_to_10,totalVolume_f_10_to_100,addressesCount_f_10_to_100,totalVolume_f_100_to_1000,addressesCount_f_100_to_1000,totalVolume_f_1000_to_10000,addressesCount_f_1000_to_10000,totalVolume_f_10000_to_100000,addressesCount_f_10000_to_100000
774,8767.37,9253.39,8661.0,9209.3,9699.74677043,2019-11-08,29473.17212184,20308025.0,156247.22729761,4853637.0,637415.88731125,2016206.0,637415.88731125,2016206.0,637415.88731125,2016206.0,1665933.64435104,630371.0,3057259.51589387,109383.0,3559120.39322504,14034.0,4854169.8228374,2040.0,2424677.89541309,108.0
775,8812.21,8876.94,8720.0,8760.38,2271.51792167,2019-11-09,29530.39235246,20312728.0,156138.23698936,4849700.0,637331.99458597,2015266.0,637331.99458597,2015266.0,637331.99458597,2015266.0,1671695.60422233,632473.0,3053053.27951683,109071.0,3562021.93445219,14038.0,4852020.434908,2039.0,2424305.681424,108.0
776,9024.49,9142.33,8750.85,8806.85,2663.27825012,2019-11-10,29567.95710202,20333898.0,156289.21916929,4854450.0,637487.54129302,2014958.0,637487.54129302,2014958.0,637487.54129302,2014958.0,1672362.38588724,632755.0,3054861.3234999,109107.0,3563424.04052572,14043.0,4839202.30986124,2036.0,2434977.78111271,109.0
777,8720.36,9075.32,8593.0,9029.88,6392.97505953,2019-11-11,29603.21085477,20354463.0,156136.16585588,4852692.0,637641.78743372,2015248.0,637641.78743372,2015248.0,637641.78743372,2015248.0,1669925.62200181,632166.0,3056151.01804202,109141.0,3566839.43137453,14050.0,4836993.81582197,2035.0,2436773.00706644,109.0
778,8813.91,8872.47,8549.0,8720.36,4721.90610684,2019-11-12,29678.72303963,20384471.0,156175.00675897,4852019.0,637894.62276305,2016002.0,637894.62276305,2016002.0,637894.62276305,2016002.0,1669948.29820113,632304.0,3057202.97759447,109188.0,3555038.61873859,14009.0,4850964.60643979,2043.0,2434848.70491551,109.0
779,8755.24,8839.46,8700.0,8817.0,3185.82098874,2019-11-13,29683.57816492,20400589.0,156195.15578825,4850014.0,637955.66149773,2015525.0,637955.66149773,2015525.0,637955.66149773,2015525.0,1657863.94077323,629194.0,3054154.84895193,109092.0,3565869.25252283,14048.0,4858582.17417573,2045.0,2433134.44657652,109.0
780,8636.9,8791.78,8555.0,8765.53,3412.80581524,2019-11-14,29743.231974529997,20396954.0,156040.91043288,4847672.0,638369.18388478,2016565.0,638369.18388478,2016565.0,638369.18388478,2016565.0,1660248.19264156,629633.0,3055962.7246157,109193.0,3565953.31028719,14043.0,4866042.87445364,2045.0,2423090.12016086,108.0
781,8463.49,8799.03,8363.0,8632.07,5213.70141434,2019-11-15,29846.541072710002,20440237.0,156194.82687832,4853071.0,638538.70166906,2016854.0,638538.70166906,2016854.0,638538.70166906,2016854.0,1664176.34486277,630691.0,3052113.91595751,109091.0,3564094.20403132,14039.0,4863478.55833052,2050.0,2423982.45558745,108.0
782,8484.63,8539.53,8423.0,8459.38,1180.57339029,2019-11-16,29915.09132295,20458150.0,156446.92288965,4862068.0,638736.5749442,2017632.0,638736.5749442,2017632.0,638736.5749442,2017632.0,1658703.66065823,629206.0,3054550.53879274,109098.0,3572801.91123932,14071.0,4858936.59172611,2047.0,2424184.25680469,108.0
783,8499.31,8631.6,8375.0,8485.61,2074.00770126,2019-11-17,29914.89245723,20466158.0,156628.65322308,4867993.0,638766.47941008,2017058.0,638766.47941008,2017058.0,638766.47941008,2017058.0,1659597.89492879,629442.0,3056482.12361781,109174.0,3573900.08354455,14076.0,4856561.19557448,2044.0,2424349.22562187,108.0
